Wall time,Step,Value
1769053365.8529603,0,-26.15999984741211
1769053411.0138624,20032,-20.84000015258789
1769053431.759534,40064,-17.360000610351562
1769053452.5655968,60096,-9.359999656677246
1769053473.560416,80128,19.31999969482422
1769053494.4564254,100160,23.200000762939453
1769053515.2854545,120192,35.880001068115234
1769053536.3894558,140224,34.439998626708984
1769053557.1956208,160256,26.959999084472656
1769053577.9727328,180288,46.959999084472656
1769053598.57782,200320,26.559999465942383
1769053619.3333535,220352,55.0
1769053640.2348754,240384,58.91999816894531
1769053656.024431,255168,51.959999084472656
1769053663.054353,260416,66.16000366210938
1769053683.910899,280448,43.36000061035156
1769053704.4725235,300480,33.0
1769053724.9516037,320512,44.84000015258789
1769053745.8941803,340544,31.31999969482422
1769053766.7381158,360576,41.560001373291016
1769053787.5076823,380608,45.47999954223633
1769053808.3975856,400640,45.31999969482422
1769053820.9432116,411840,48.2400016784668
1769053831.591937,420672,54.119998931884766
1769053838.646572,426048,45.31999969482422
1769053854.4691713,440704,50.2400016784668
1769053875.178899,460736,43.720001220703125
1769053884.1775374,468160,53.7599983215332
1769053887.1324697,469056,57.91999816894531
1769053894.7716851,475136,51.0
1769053902.1070292,480768,63.0
1769053909.7893429,486848,56.040000915527344
1769053924.950825,500800,48.880001068115234
1769053945.6943836,520832,47.08000183105469
1769053957.945943,531584,52.2400016784668
1769053967.5230343,539904,46.560001373291016
1769053970.4455333,540864,49.959999084472656
1769053976.0266788,544768,47.79999923706055
1769053978.6470983,545408,48.36000061035156
1769053994.89346,560896,44.15999984741211
1769054000.626766,564992,50.959999084472656
1769054017.1893792,580928,49.52000045776367
1769054020.9991496,582848,50.15999984741211
1769054039.565017,600960,46.36000061035156
1769054046.4106083,606272,43.040000915527344
1769054054.492251,612736,57.720001220703125
1769054059.5347805,615872,52.84000015258789
1769054065.0690117,619584,55.119998931884766
1769054068.345678,620992,56.08000183105469
1769054071.7146688,622528,56.91999816894531
1769054074.151642,623040,60.119998931884766
1769054084.331119,631936,43.20000076293945
1769054091.5569057,637696,44.720001220703125
1769054096.6274226,641024,49.720001220703125
1769054104.3122613,647168,54.2400016784668
1769054118.9514804,661056,51.15999984741211
1769054139.9719093,681088,61.720001220703125
1769054144.9453912,684224,48.47999954223633
1769054154.6872745,692288,53.439998626708984
1769054165.4048605,701120,50.20000076293945
1769054186.3768353,721152,60.68000030517578
1769054195.039236,728128,45.599998474121094
1769054204.818461,736256,60.08000183105469
1769054211.4869306,741184,54.52000045776367
1769054224.9233344,753536,57.08000183105469
1769054230.8059418,757568,54.599998474121094
1769054234.5223718,759424,42.68000030517578
1769054238.3013136,761216,46.599998474121094
1769054259.368136,781248,59.79999923706055
1769054270.352996,790656,68.12000274658203
1769054278.299498,796864,55.720001220703125
1769054280.5271726,797056,58.15999984741211
1769054282.948228,797440,60.36000061035156
1769054288.70004,801280,56.560001373291016
1769054291.3019502,801856,60.2400016784668
1769054294.5833964,803136,57.31999969482422
1769054313.9101448,821312,62.040000915527344
1769054334.764446,841344,51.720001220703125
1769054355.6601748,861376,52.20000076293945
1769054368.8982425,873088,55.2400016784668
1769054378.9402158,881408,54.0
1769054397.0582886,898624,59.63999938964844
1769054401.9355636,901440,53.15999984741211
1769054422.7991598,921472,58.560001373291016
1769054432.2242787,929088,46.15999984741211
1769054445.813659,941504,59.7599983215332
1769054448.2447698,941888,57.400001525878906
1769054450.781151,942400,50.47999954223633
1769054455.9812877,945728,50.63999938964844
1769054465.3892262,953600,54.08000183105469
1769054475.0355227,961536,45.599998474121094
1769054496.311824,981568,56.439998626708984
1769054516.9326856,1001600,51.36000061035156
